gene,beta_sex_M_vs_F_mixed,pval_sex_M_vs_F_mixed,qval_sex_M_vs_F_mixed
DOP1B,-0.005180208202533689,0.9574128013432621,0.9948511692066447
AP000692.2,-0.027677053006029028,0.8184746294184765,0.9772333976642704
MORC3,0.026349683347538566,0.7402431915867127,0.9653806976951429
AP000692.1,0.07094880057221375,0.5250407270278221,0.9255750090698822
CHAF1B,-0.02580867067566023,0.6005412738751224,0.9424303635155961
HLCS,-0.048574841224256614,0.5584305739509272,0.9329169761691548
AP000704.1,-0.023671651054745137,0.7899043175300445,0.9741241784374594
PIGP,-0.05657551056819809,0.5356000801033729,0.9268310630382312
TTC3,-0.0675235353100242,0.44388411389795746,0.8999585665692766
VPS26C,0.006747483037130258,0.8948227488423792,0.9857793539305576
DYRK1A,-0.05380466700047102,0.5030559175363807,0.9209414737534525
ERG,-0.03647095082115584,0.7860968597582642,0.9730050680850727
ETS2,0.00724712304104704,0.9333523352731417,0.9907825715545922
AF064858.1,0.06050782677974889,0.5317465188650209,0.9258026718299792
PSMG1,0.14303657738828643,0.15497971523609438,0.7266232472414529
BRWD1,-0.0973687193386853,0.281307450848188,0.8308415983186624
HMGN1,-0.012554552779783089,0.6982994286777182,0.9602633634213381
GET1,-0.010816883535926969,0.8917748477748619,0.9856950456667515
SH3BGR,-0.002475095268378307,0.9762628891752404,0.9966563572430829
BACE2,0.38826113770838366,0.018354754874354246,0.4195978696258713
MX2,-0.015785156944951,0.9163550277950557,0.9873731889540456
MX1,-0.0031058538096735873,0.9931232782555378,0.9985642106102289
PRDM15,-0.03964068590183007,0.545090292314439,0.9291427217107351
C2CD2,-0.08726057941689458,0.2641255271176607,0.8195627784378154
ZBTB21,-0.09904053151298381,0.2989009291548307,0.8409079410991848
UMODL1,-0.26390309677322193,0.01442608249315218,0.38589553780876
ABCG1,-0.4107065155957134,0.0013405922656811056,0.1442499076121092
UBASH3A,0.28249849714954006,0.08747609949939876,0.6447545746936341
RSPH1,-0.07224648195743948,0.5303359671231223,0.925603524357907
SLC37A1,-0.1680998603147534,0.08766106999043886,0.6447545746936341
WDR4,-0.02490096757456784,0.8233395300842548,0.9774756620618148
NDUFV3,0.14498507522106777,0.22239825155825665,0.784117099888605
PKNOX1,-0.06523895759552577,0.3286844737341331,0.8474847087222388
U2AF1,0.3229171670708175,0.5621687516654272,0.933773020618967
RRP1B,-0.05502845584247289,0.46890603275303666,0.9095174262863649
PDXK,-0.08381102279431342,0.2365169996780322,0.7927545237987499
CSTB,-0.1439482813261989,0.4362954634092383,0.8989537090467529
RRP1,0.1453570661571165,0.1161568425920169,0.6826575943202539
AGPAT3,0.042520352480044175,0.6309903052255705,0.9499929855216132
TRAPPC10,-0.0632791250093658,0.4840317472702914,0.917656521289544
GATD3A,0.4127990524776841,0.14624126416511743,0.7193311361646231
LINC01678,-0.12294158442109894,0.25832189090485824,0.8142153432069061
ICOSLG,-0.2608009693486522,0.09395077999830055,0.654049305928637
AP001059.3,-0.17101371354883743,0.17325019646933448,0.7440225150124814
AP001059.2,-0.11137302209506897,0.5071161488690328,0.9209414737534525
PFKL,-0.025207291921487535,0.6184272337920939,0.9464238756756463
CFAP410,0.11817003230332807,0.1006008107433135,0.667744225206695
AP001062.1,0.0036625186013953277,0.9631653060252666,0.996384799374303
TRPM2,-0.23458076307977888,0.042872872018481376,0.5433936176348654
UBE2G2,-0.0013771495916284496,0.9793053544082022,0.9969314949305865
SUMO3,0.06089301804353497,0.00910894715126166,0.33740701139698426
PTTG1IP,-0.13026781456752626,0.03140698476993868,0.49406174146894627
ITGB2,-0.20082344706609237,0.06651061570582661,0.6132710690402481
ITGB2-AS1,-0.12892336619844838,0.35628557809911965,0.8633290163330366
FAM207A,0.13905992831363018,0.26819417775419374,0.823179485755277
AP001505.1,0.02792908220158524,0.7536489899061936,0.9677013413100319
ADARB1,0.12180769756605961,0.11929571007210604,0.6876452098244251
POFUT2,0.005583473173612567,0.941912768302741,0.992210005696255
LINC00205,0.021188276315849526,0.8040508452912181,0.9757965712244293
COL18A1,0.3277437065306642,0.097374335028509,0.6598818863811144
SLC19A1,0.12640984095637728,0.16965543459814014,0.7401126709844227
LINC01694,0.134070199496465,0.24527639562696502,0.8036411398904584
PCBP3,-0.016158652221806576,0.8978136608839882,0.9857793539305576
AL133492.1,0.02742767691577825,0.8980629219108089,0.9857793539305576
COL6A2,-0.23227769683268337,0.09088962074397497,0.6490093233276566
SPATC1L,-0.002101827344146355,0.9873536474257807,0.9985159188138552
LSS,-0.10511036604925747,0.23826557186808006,0.7949192951031105
MCM3AP-AS1,0.13463355359659307,0.16067328348463394,0.7327005792775285
MCM3AP,0.014337968016743247,0.8673122375911515,0.9841015762352565
AP001469.3,-0.013715236128902823,0.8753225929499,0.9849416734380391
YBEY,0.05339772917493346,0.5040645513516773,0.9209414737534525
C21orf58,-0.028606894793791984,0.6801665895058889,0.9551678262260945
PCNT,0.014446949602108194,0.8858335392797688,0.9856950456667515
DIP2A,-0.02923801248570935,0.7912220972137156,0.9744038670251552
S100B,0.03948518283430593,0.7704145773682367,0.9693942472103021
PRMT2,-0.021900984946076354,0.7709408242240582,0.9693942472103021
AP000547.3,-0.12781753669532744,0.07872617808564286,0.6328020788815766
IL17RA,-0.19890016608376487,0.10607100106809582,0.6753003070627517
HDHD5,-0.07806814956437402,0.29444397916804765,0.8399293755683067
ADA2,0.058431176313071494,0.6154928547767002,0.9456955471761506
ATP6V1E1,0.059824529803278466,0.29162026082711756,0.839577012801459
BCL2L13,-0.04386275863051434,0.47278211849099594,0.9117571549671628
BID,-0.07432299964464165,0.22201971495514383,0.784117099888605
LINC00528,0.05466997481559747,0.6263533912426379,0.9486476306610733
MICAL3,0.05116217708033692,0.48734957620918273,0.9190130115469689
PEX26,-0.014906199450483274,0.8475531614214123,0.9813323551724275
AC008079.1,-0.12159147636365367,0.22023569473417715,0.784117099888605
USP18,0.1501873732282673,0.2736628716981425,0.8274767255352057
TMEM191B,-0.032431424620432976,0.5954123212208522,0.9405699469012765
DGCR6,-0.15717250409038866,0.07188228754568218,0.6255673347219814
DGCR2,0.014759079873438868,0.8504347272359134,0.9819934173964816
ESS2,-0.01354466280451034,0.7999895813409394,0.9750429101125566
LINC01311,0.1454897827851608,0.03327833860082854,0.5045118114340958
SLC25A1,0.05081111396391545,0.4791581265248087,0.9154747889526302
HIRA,0.011113945550592719,0.8721403524651685,0.9845903171747252
C22orf39,0.08209595989924827,0.1341806992134406,0.7042380779286518
MRPL40,0.10406431696009626,0.2618487571525139,0.8173510143663965
UFD1,-0.03370667257828157,0.39581608085137265,0.8804500292518446
CDC45,-0.0434008143629802,0.5020030059201426,0.9209414737534525
SEPTIN5,-0.01967132432438894,0.8086203204755515,0.976222934920792
GP1BB,-0.08224420725973572,0.47051387993286986,0.9106972588705612
GNB1L,-0.23975700138061026,0.0005242117922485306,0.0806737566326663
RTL10,0.027106685643505452,0.7527018047141731,0.967543928926602
TXNRD2,0.14203534822636404,0.07254845266925576,0.6255673347219814
COMT,-0.08499976508182625,0.30567558946635676,0.8428240148962904
ARVCF,0.07659589372787119,0.18221336794602672,0.756388591449959
TANGO2,0.1991576362382411,0.010989424053036732,0.3575492860203656
DGCR8,0.07339630273071172,0.24837052804903437,0.8059990984688872
TRMT2A,0.06192220826999202,0.44203723573369613,0.8999585665692766
RANBP1,0.015093085829941113,0.7401784952843682,0.9653806976951429
ZDHHC8,-0.10305648460989131,0.2519348398073027,0.8078056468448326
RTN4R,-0.10196400992121754,0.4405981729149172,0.8999585665692766
DGCR6L,0.06785144884769373,0.3686537338366931,0.8700307003082441
ZNF74,-0.04478246830436459,0.634881425826268,0.9505665191223948
KLHL22,-0.05997311160692724,0.30961799038665305,0.8441844723871486
MED15,-0.11108757672011217,0.12575883083561754,0.6924196563519339
PI4KA,-0.16086606221615019,0.06609415623804442,0.6128354009037719
SNAP29,-0.07980143704452791,0.19791045953987618,0.7668954748873466
CRKL,-0.07257904155869047,0.23541474348414781,0.7924065799765799
LINC01637,0.08747304036860187,0.2880774886176908,0.837897803875272
LZTR1,-0.07546582268334266,0.44030265726044593,0.8999585665692766
THAP7,0.13431019293223945,0.08563224273926555,0.6402089742858011
THAP7-AS1,0.04837201839053205,0.6595075884953694,0.9533042229734956
HIC2,-0.05524880656464902,0.40698538078532565,0.8855593576621134
