gene,beta_sex_M_vs_F,pval_sex_M_vs_F,qval_sex_M_vs_F
TMEM230,0.03107350034429496,0.49963815523516175,0.8457103494241394
PCNA,-0.06282013057321151,0.4018648302242356,0.7989010052340016
CDS2,-0.05897274978726444,0.37492614594088225,0.779200389745726
GPCPD1,-0.011107057830038042,0.9126256038129552,0.9782520439838365
SHLD1,0.16085331049888985,0.03367907320998573,0.3795081591773067
TRMT6,0.0036227039679912858,0.965588730002065,0.9919609916308393
MCM8,-0.017633899279746713,0.8048240281203187,0.9518939687380055
AL035461.2,-0.04301961614816703,0.4931375376347312,0.843029905125526
CRLS1,0.13193256573251522,0.11403231570966262,0.5398604293989756
FERMT1,0.3717249954858098,0.1955465643415562,0.6376581240760872
BMP2,0.05567785667262301,0.5978442150202078,0.8886005254936016
TMX4,0.13044839267056715,0.06281105728247782,0.4525678574800634
PLCB1,-0.12215947476815894,0.22573262492041635,0.6685439985777273
PLCB4,0.05683828092713604,0.6022912396908584,0.8888049661172379
MKKS,0.03097315314490577,0.585143221838462,0.8827679336726559
SLX4IP,-0.045199960284267295,0.5527242689030007,0.8683511481543167
JAG1,-0.006619735447910717,0.9499719365019414,0.9883338867930718
BTBD3,-0.06745112406678029,0.3526005777864436,0.7652573735260252
SPTLC3,0.13213908221731377,0.1789319060022609,0.622102103453093
TASP1,0.05827479813387308,0.3487460565167323,0.7620924235362724
ESF1,0.12173463407346516,0.06030903935492525,0.4474498009539185
NDUFAF5,0.033182936752826485,0.510530162546516,0.8515913335180447
KIF16B,0.1377152329906422,0.16416468783390145,0.6067812791636894
SNRPB2,0.059831267322795416,0.16443889810857262,0.6070487803540999
DSTN,0.025206708944470663,0.7347280534749374,0.9323731552657246
RRBP1,-0.030338340034655905,0.736559826416187,0.9329283708901456
SNX5,0.15327760046855593,0.0049725412423074575,0.20188665277486179
MGME1,0.1336630670582467,0.04198922187428786,0.4074555283930162
PET117,0.12284800898113876,0.10616414506941026,0.5293504008761171
KAT14,0.14259415440461537,0.014143279558699852,0.28580221105183395
ZNF133,0.012620713381119437,0.8682464531478448,0.9687428848101111
DZANK1,0.0009122623303029573,0.9878806378988325,0.9972915668451838
POLR3F,-0.037436899070129176,0.5635299231684134,0.874593203215942
RBBP9,0.046842193184650695,0.41593340448175986,0.8072710736593798
SEC23B,-0.07944198409679788,0.2790431444544721,0.7085568488154117
SMIM26,0.0004707458928641349,0.992182379103256,0.9976053107090087
DTD1,0.03609798740323003,0.46193445887946527,0.8282767004896603
LINC00653,0.033628198482524733,0.6850162824880979,0.9186872258374844
SLC24A3,0.01258137457757623,0.8739571004967425,0.9699560776601445
RIN2,0.22786986940332477,0.014368393570259869,0.28818393670393133
NAA20,0.0033515585120514908,0.9431921150281515,0.9865318927059891
CRNKL1,0.03377300986886381,0.5722447880260964,0.8787177096908934
RALGAPA2,-0.037711600271064086,0.5636990786009466,0.8746917941807889
KIZ,0.09901125129007607,0.164970872086257,0.6070487803540999
AL117332.1,-0.004158160831841572,0.9331064038549511,0.9840069764155677
XRN2,0.017139137950657225,0.7326777461158651,0.931935676301133
THBD,-0.3971389970532546,0.04028847263070798,0.40306744046867027
CD93,-0.23464270914378274,0.15797641312883956,0.5991835417931632
NXT1,-0.08279525933635108,0.11735477312924564,0.545211574987257
GZF1,-0.15022281031102136,0.09611239740170452,0.5144530334890122
NAPB,0.02572987619133127,0.777270071285487,0.9443949937282391
CST3,0.01624747203614969,0.8755982606752212,0.9700404317808767
CST7,0.07714724417805457,0.6740268833156124,0.9155808525826608
APMAP,0.014037985704435532,0.8261778285494868,0.9587395638223435
ACSS1,0.1562585873667668,0.07238394881346806,0.4734135502285368
ENTPD6,-0.0021358872212548473,0.9710033590747092,0.9932320970669533
PYGB,0.12500841624769582,0.06182194178537157,0.45157131594905586
ABHD12,-0.0883685560205553,0.280323769764941,0.7092036861342275
GINS1,0.06339894048933818,0.2867994372901808,0.7150268133307277
NANP,0.11311689103992054,0.18058944159215254,0.6234433617406706
ZNF337-AS1,0.20457322741236128,0.010430672880144473,0.2647289762603838
ZNF337,0.023346394949836455,0.6845430532028878,0.9185504531534457
FAM182A,0.2244094442189469,0.058039467808553555,0.4438081107653184
AL078587.2,0.2919026599133262,0.024887943866135784,0.34627448277458533
LINC01597,0.6757183417281543,7.695953425830632e-06,0.0031832387357591954
HM13,0.05984715876220825,0.2072165912360795,0.6514757494088501
ID1,0.08614326419039417,0.5288842727707402,0.8604057478436159
BCL2L1,0.1266042825676585,0.04863517788252676,0.4182814908727253
TPX2,0.12630463019747729,0.11321569978883737,0.5391415907816192
DUSP15,0.021897298583850165,0.8549461174978462,0.9654823341751546
PDRG1,0.11792381247785265,0.04180232436927276,0.4071459837050398
HCK,-0.08409397193591496,0.48943902123720906,0.8411301201592576
TM9SF4,-0.0478630955663325,0.45209461010188257,0.8242296800213744
PLAGL2,-0.0020420004504120553,0.969009417890974,0.9927864892952187
POFUT1,0.11559064897749319,0.08691548826320397,0.49652487517687666
KIF3B,0.021655052790368303,0.8039316811590684,0.951605640176849
ASXL1,0.007685763566005882,0.9003186310134101,0.9750245858457162
NOL4L,-0.21613618759025582,0.015749312479097218,0.29815496071725867
COMMD7,0.013719267749649287,0.7603525210635055,0.939515991053704
DNMT3B,-0.13673849361280974,0.02866884915664783,0.3659706016498882
MAPRE1,-0.03620057284819643,0.23041235961482126,0.6726374044688518
AL035071.1,-0.15412601992198488,0.17327595013240055,0.6170163479947871
CDK5RAP1,0.0961244705264584,0.14743810768285268,0.5870597699796151
SNTA1,-0.22910198291240147,0.0036356049822920357,0.18638531246882803
CBFA2T2,-0.14572936113776963,0.07047397570190857,0.4697519092732572
NECAB3,-0.0090236445697274,0.9028742582296011,0.9751668791795612
E2F1,0.04220952997431339,0.5850018426787926,0.8827679336726559
PXMP4,0.11928347703201023,0.2184934039786061,0.6648226885197311
ZNF341,0.05784390926743887,0.35551461027880693,0.7666056523080564
CHMP4B,-0.11333602627149589,0.04562743311511515,0.41092328435321634
RALY-AS1,-0.08446771954637614,0.17784216499946284,0.6207263950547328
RALY,-0.04438367292764303,0.3668681369884733,0.7737287721596382
EIF2S2,0.031169485843388446,0.5881133836389097,0.8830707595966659
AL031668.2,-0.29109130757134716,0.008482129299496027,0.24728956697825863
AHCY,0.04504948865728834,0.4960703038137614,0.843949801276147
ITCH,0.01025626809137117,0.883803173580515,0.9717950030137019
DYNLRB1,0.10221819228435228,0.0869580528328052,0.49652487517687666
MAP1LC3A,-0.13638159372784964,0.06721315463159004,0.4637494289551706
PIGU,0.09398965585592103,0.11045083850325473,0.5358230995693368
NCOA6,-0.03518196130000224,0.5884667904407052,0.8835011840146522
TP53INP2,-0.2503197756577952,0.023526623323759255,0.340014892827683
GGT7,0.024930402996885308,0.7801991856115367,0.9452760767078
ACSS2,0.015986244366872085,0.7973949418648809,0.9497507215876276
GSS,0.10250832883596486,0.08413720138245441,0.4903586264380108
TRPC4AP,-0.01701061460141778,0.7383607020130073,0.9332450584266773
EDEM2,-0.09765871239970972,0.07032666037267805,0.46953486634162456
PROCR,-0.12162704399637403,0.13598686164397963,0.571536608878662
MMP24OS,0.09874196568765603,0.04075549410431208,0.4046809602135595
EIF6,-0.006812941158655728,0.9084080890880614,0.9761072793610636
UQCC1,0.035931861564057976,0.5625626455560626,0.8742278798487602
CEP250,0.0812755792043572,0.19464671964945388,0.6376115056831226
FO393401.1,-0.15041481926929834,0.03802897217345949,0.39351424062834794
ERGIC3,0.032467005542415404,0.31476306139505744,0.740278810262688
CPNE1,-0.00026199768871580653,0.9979215007176809,0.998978141241811
RBM12,-0.08002189618681844,0.12216762411451645,0.5531552398724282
NFS1,0.169098355797552,0.020770608739108107,0.3249642757338474
ROMO1,0.011083585690304527,0.9048378894380279,0.975607245308123
RBM39,0.01852732676992786,0.6442916258027993,0.902799487521263
PHF20,0.04146066555590857,0.3688601053661169,0.7746434344570676
SCAND1,0.05752771287801079,0.29184459270876534,0.7194738366722329
CNBD2,-0.009047877834500909,0.8367703160407444,0.9613320839161054
NORAD,-0.01956649357739267,0.653639016325994,0.9071580182542577
AAR2,-0.002592064184595025,0.9739253733794014,0.993669640179585
DLGAP4,-0.07252045101273458,0.30487199674659976,0.7318101349867032
MYL9,-0.06419858662823164,0.5072133644476713,0.8487327549721083
TGIF2,-0.04497472587820582,0.5324508887740973,0.8606081284422948
RAB5IF,-0.09637221967742099,0.0013694637287451857,0.1384363529637996
SLA2,-0.14310308109446443,0.040866720745697714,0.4049419593896988
NDRG3,-0.05235898437308785,0.31505542085806587,0.740278810262688
DSN1,0.1102416998827341,0.13546695540901327,0.5708810899816557
SOGA1,-0.14999549544557284,0.08844738377166254,0.49901516266058205
SAMHD1,-0.2216141673874508,0.012947515082597432,0.2802542318593557
RBL1,0.00350205323169081,0.9557250578984462,0.9906529076281688
MROH8,0.004893338276556677,0.9482422029029838,0.9877376200319622
RPN2,0.0011808688821799054,0.983561122850362,0.9968387566496474
MANBAL,-0.03023585549644306,0.48271749142088416,0.8387756165528548
SRC,-0.32836129949889914,0.014454230589806686,0.2885613817295344
BLCAP,-0.03845319806696186,0.5142166526923917,0.8543744752738722
